Passenger_Id,pclass,survived,name_with_salutions,name_without_salutions,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,home_dest
25,3rd,1,"Wilkes, Mrs. James (Ellen Needs)","Wilkes,  James (Ellen Needs)",female,47.0,1,0,363272,7.0,,Southampton,,
26,2nd,0,"Byles, Rev. Thomas Roussel Davids","Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,13.0,,Southampton,,London
27,1st,0,"Carlsson, Mr. Frans Olof","Carlsson, Frans Olof",male,33.0,0,0,695,5.0,B51 B53 B55,Southampton,,"New York, NY"
28,3rd,0,"Berglund, Mr. Karl Ivar Sven","Berglund,  Karl Ivar Sven",male,22.0,0,0,PP 4348,9.35,,Southampton,,"Tranvik, Finland New York"
29,3rd,1,"Albimona, Mr. Nassef Cassem","Albimona,  Nassef Cassem",male,26.0,0,0,2699,18.7875,,Cherbourg,15,"Syria Fredericksburg, VA"
30,2nd,0,"Giles, Mr. Frederick Edward","Giles,  Frederick Edward",male,21.0,1,0,28134,11.5,,Southampton,,"Cornwall / Camden, NJ"
31,2nd,0,"Beauchamp, Mr. Henry James","Beauchamp,  Henry James",male,28.0,0,0,244358,26.0,,Southampton,,England
32,3rd,0,"Panula, Mrs. Juha (Maria Emilia Ojala)","Panula,  Juha (Maria Emilia Ojala)",female,41.0,0,5,3101295,39.6875,,Southampton,,
33,3rd,0,"Ilmakangas, Miss. Ida Livija","Ilmakangas,  Ida Livija",female,27.0,1,0,STON/O2. 3101270,7.925,,Southampton,,
34,2nd,1,"Harris, Mr. George","Harris,  George",male,62.0,0,0,S.W./PP 752,10.5,,Southampton,15,London
35,2nd,0,"Faunthorpe, Mr. Harry","Faunthorpe,  Harry",male,40.0,1,0,2926,26.0,,Southampton,,"England / Philadelphia, PA"
36,3rd,1,"Duquemin, Mr. Joseph","Duquemin,  Joseph",male,24.0,0,0,S.O./P.P. 752,7.55,,Southampton,D,"England Albion, NY"
37,3rd,0,"Elias, Mr. Joseph","Elias,  Joseph",male,39.0,0,2,2675,7.2292,,Cherbourg,,"Syria Ottawa, ON"
38,3rd,1,"Kelly, Miss. Mary","Kelly,  Mary",female,,0,0,14312,7.75,,Queenstown,D,
39,1st,1,"Frauenthal, Mr. Isaac Gerald","Frauenthal,  Isaac Gerald",male,43.0,1,0,17765,27.7208,D40,Cherbourg,5,"New York, NY"
40,1st,0,"Van der hoef, Mr. Wyckoff","Van der hoef,  Wyckoff",male,61.0,0,0,111240,33.5,B19,Southampton,,"Brooklyn, NY"
41,3rd,0,"Demetri, Mr. Marinko","Demetri,  Marinko",male,,0,0,349238,7.8958,,Southampton,,
42,3rd,0,"Jussila, Miss. Mari Aina","Jussila,  Mari Aina",female,21.0,1,0,4137,9.825,,Southampton,,
43,3rd,0,"Ivanoff, Mr. Kanio","Ivanoff,  Kanio",male,,0,0,349201,7.8958,,Southampton,,
44,3rd,1,"Asplund, Mr. Johan Charles","Asplund,  Johan Charles",male,23.0,0,0,350054,7.7958,,Southampton,13,"Oskarshamn, Sweden Minneapolis, MN"
45,3rd,0,"Maenpaa, Mr. Matti Alexanteri","Maenpaa,  Matti Alexanteri",male,22.0,0,0,STON/O 2. 3101275,7.125,,Southampton,,
46,3rd,0,"Lester, Mr. James","Lester,  James",male,39.0,0,0,A/4 48871,24.15,,Southampton,,
47,3rd,0,"Fischer, Mr. Eberhard Thelander","Fischer,  Eberhard Thelander",male,18.0,0,0,350036,7.7958,,Southampton,,
48,2nd,0,"Moraweck, Dr. Ernest","Moraweck, Dr. Ernest",male,54.0,0,0,29011,14.0,,Southampton,,"Frankfort, KY"
49,3rd,1,"Dorking, Mr. Edward Arthur","Dorking,  Edward Arthur",male,19.0,0,0,A/5. 10482,8.05,,Southampton,B,"England Oglesby, IL"
50,3rd,0,"de Pelsmaeker, Mr. Alfons","de Pelsmaeker,  Alfons",male,16.0,0,0,345778,9.5,,Southampton,,
51,2nd,0,"Veal, Mr. James","Veal,  James",male,40.0,0,0,28221,13.0,,Southampton,,"Barre, Co Washington, VT"
52,2nd,0,"Myles, Mr. Thomas Francis","Myles,  Thomas Francis",male,62.0,0,0,240276,9.6875,,Queenstown,,"Cambridge, MA"
53,3rd,0,"Assam, Mr. Ali","Assam,  Ali",male,23.0,0,0,SOTON/O.Q. 3101309,7.05,,Southampton,,
54,3rd,0,"Keefe, Mr. Arthur","Keefe,  Arthur",male,,0,0,323592,7.25,,Southampton,A,
55,3rd,0,"Mernagh, Mr. Robert","Mernagh,  Robert",male,,0,0,368703,7.75,,Queenstown,,
56,3rd,0,"Mahon, Miss. Bridget Delia","Mahon,  Bridget Delia",female,,0,0,330924,7.8792,,Queenstown,,
57,3rd,0,"Nosworthy, Mr. Richard Cater","Nosworthy,  Richard Cater",male,21.0,0,0,A/4. 39886,7.8,,Southampton,,
58,3rd,1,"Emanuel, Miss. Virginia Ethel","Emanuel,  Virginia Ethel",female,5.0,0,0,364516,12.475,,Southampton,13,"New York, NY"
59,1st,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)","Cassebeer, Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,,0,0,17770,27.7208,,Cherbourg,5,"New York, NY"
60,1st,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)","Minahan,  William Edward (Lillian E Thorpe)",female,37.0,1,0,19928,90.0,C78,Queenstown,14,"Fond du Lac, WI"
61,1st,0,"Blackwell, Mr. Stephen Weart","Blackwell, Stephen Weart",male,45.0,0,0,113784,35.5,T,Southampton,,"Trenton, NJ"
62,3rd,1,"Jansson, Mr. Carl Olof","Jansson,  Carl Olof",male,21.0,0,0,350034,7.7958,,Southampton,A,
63,2nd,1,"Christy, Miss. Julie Rachel","Christy,  Julie Rachel",female,25.0,1,1,237789,30.0,,Southampton,12,London
64,3rd,0,"Chronopoulos, Mr. Demetrios","Chronopoulos,  Demetrios",male,18.0,1,0,2680,14.4542,,Cherbourg,,Greece
65,3rd,1,"Murphy, Miss. Margaret Jane","Murphy,  Margaret Jane",female,,1,0,367230,15.5,,Queenstown,16,
66,1st,1,"Wick, Mrs. George Dennick (Mary Hitchcock)","Wick,  George Dennick (Mary Hitchcock)",female,45.0,1,1,36928,164.8667,,Southampton,8,"Youngstown, OH"
67,3rd,0,"Nancarrow, Mr. William Henry","Nancarrow,  William Henry",male,33.0,0,0,A./5. 3338,8.05,,Southampton,,
68,3rd,0,"Williams, Mr. Howard Hugh ""Harry""","Williams,  Howard Hugh ""Harry""",male,,0,0,A/5 2466,8.05,,Southampton,,
69,1st,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)","Hays,  Charles Melville (Clara Jennings Gregg)",female,52.0,1,1,12749,93.5,B69,Southampton,3,"Montreal, PQ"
70,3rd,0,"Mangan, Miss. Mary","Mangan,  Mary",female,30.5,0,0,364850,7.75,,Queenstown,,
71,3rd,0,"Klasen, Miss. Gertrud Emilia","Klasen,  Gertrud Emilia",female,1.0,1,1,350405,12.1833,,Southampton,,
72,1st,1,"Gracie, Col. Archibald IV","Gracie, Col. Archibald IV",male,53.0,0,0,113780,28.5,C51,Cherbourg,B,"Washington, DC"
73,2nd,0,"Denbury, Mr. Herbert","Denbury,  Herbert",male,25.0,0,0,C.A. 31029,31.5,,Southampton,,"Guernsey / Elizabeth, NJ"
74,3rd,0,"Sirota, Mr. Maurice","Sirota,  Maurice",male,,0,0,392092,8.05,,Southampton,,
75,3rd,0,"van Billiard, Master. James William","van Billiard, Master. James William",male,,1,1,A/5. 851,14.5,,Southampton,,
76,2nd,0,"Howard, Mr. Benjamin","Howard,  Benjamin",male,63.0,1,0,24065,26.0,,Southampton,,"Swindon, England"
77,2nd,0,"Rogers, Mr. Reginald Harry","Rogers,  Reginald Harry",male,19.0,0,0,28004,10.5,,Southampton,,
78,2nd,1,"Davis, Miss. Mary","Davis,  Mary",female,28.0,0,0,237668,13.0,,Southampton,13,"London / Staten Island, NY"
79,2nd,0,"Schmidt, Mr. August","Schmidt,  August",male,26.0,0,0,248659,13.0,,Southampton,,"Newark, NJ"
80,2nd,1,"Padro y Manent, Mr. Julian","Padro y Manent,  Julian",male,,0,0,SC/PARIS 2146,13.8625,,Cherbourg,9,"Spain / Havana, Cuba"
81,1st,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")","Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,1,0,11755,39.6,A16,Cherbourg,1,London / Paris
82,1st,0,"Baumann, Mr. John D","Baumann, John D",male,,0,0,PC 17318,25.925,,Southampton,,"New York, NY"
83,3rd,1,"Sheerlinck, Mr. Jan Baptist","Sheerlinck,  Jan Baptist",male,29.0,0,0,345779,9.5,,Southampton,11,
84,3rd,0,"Hegarty, Miss. Hanora ""Nora""","Hegarty,  Hanora ""Nora""",female,18.0,0,0,365226,6.75,,Queenstown,,
85,3rd,1,"Touma, Miss. Maria Youssef","Touma,  Maria Youssef",female,9.0,1,1,2650,15.2458,,Cherbourg,C,
86,3rd,0,"Hagland, Mr. Ingvald Olai Olsen","Hagland,  Ingvald Olai Olsen",male,,1,0,65303,19.9667,,Southampton,,
87,3rd,0,"Kalvik, Mr. Johannes Halvorsen","Kalvik,  Johannes Halvorsen",male,21.0,0,0,8475,8.4333,,Southampton,,
88,1st,1,"Homer, Mr. Harry (""Mr E Haven"")","Homer,  Harry (""Mr E Haven"")",male,35.0,0,0,111426,26.55,,Cherbourg,15,"Indianapolis, IN"
89,3rd,0,"Reed, Mr. James George","Reed,  James George",male,,0,0,362316,7.25,,Southampton,,
90,1st,1,"Rosenbaum, Miss. Edith Louise","Rosenbaum,  Edith Louise",female,33.0,0,0,PC 17613,27.7208,A11,Cherbourg,11,"Paris, France"
91,2nd,0,"Frost, Mr. Anthony Wood ""Archie""","Frost,  Anthony Wood ""Archie""",male,,0,0,239854,0.0,,Southampton,,Belfast
92,3rd,0,"Klasen, Mr. Klas Albin","Klasen,  Klas Albin",male,18.0,1,1,350404,7.8542,,Southampton,,
93,2nd,1,"Parrish, Mrs. (Lutie Davis)","Parrish,  (Lutie Davis)",female,50.0,0,1,230433,26.0,,Southampton,12,"Woodford County, KY"
94,3rd,1,"Lundstrom, Mr. Thure Edvin","Lundstrom,  Thure Edvin",male,32.0,0,0,350403,7.5792,,Southampton,15,
95,1st,1,"Graham, Miss. Margaret Edith","Graham,  Margaret Edith",female,19.0,0,0,112053,30.0,B42,Southampton,3,"Greenwich, CT"
96,1st,1,"Eustis, Miss. Elizabeth Mussey","Eustis,  Elizabeth Mussey",female,54.0,1,0,36947,78.2667,D20,Cherbourg,4,"Brookline, MA"
97,2nd,0,"Hunt, Mr. George Henry","Hunt,  George Henry",male,33.0,0,0,SCO/W 1585,12.275,,Southampton,,"Philadelphia, PA"
98,2nd,1,"Bentham, Miss. Lilian W","Bentham,  Lilian W",female,19.0,0,0,28404,13.0,,Southampton,12,"Rochester, NY"
99,2nd,0,"Ware, Mr. John James","Ware,  John James",male,30.0,1,0,CA 31352,21.0,,Southampton,,"Bristol, England / New Britain, CT"
100,3rd,0,"Meek, Mrs. Thomas (Annie Louise Rowley)","Meek,  Thomas (Annie Louise Rowley)",female,,0,0,343095,8.05,,Southampton,,
101,3rd,0,"Jensen, Mr. Svend Lauritz","Jensen,  Svend Lauritz",male,17.0,1,0,350048,7.0542,,Southampton,,
102,3rd,0,"Hendekovic, Mr. Ignjac","Hendekovic,  Ignjac",male,28.0,0,0,349243,7.8958,,Southampton,,
103,3rd,0,"Todoroff, Mr. Lalio","Todoroff,  Lalio",male,,0,0,349216,7.8958,,Southampton,,
104,3rd,1,"Johnson, Master. Harold Theodor","Johnson, Master. Harold Theodor",male,4.0,1,1,347742,11.1333,,Southampton,15,
105,3rd,1,"Turja, Miss. Anna Sofia","Turja,  Anna Sofia",female,18.0,0,0,4138,9.8417,,Southampton,15,
106,3rd,0,"Davies, Mr. Evan","Davies,  Evan",male,22.0,0,0,SC/A4 23568,8.05,,Southampton,,
107,3rd,0,"Willey, Mr. Edward","Willey,  Edward",male,,0,0,S.O./P.P. 751,7.55,,Southampton,,
108,3rd,1,"Asplund, Miss. Lillian Gertrud","Asplund,  Lillian Gertrud",female,5.0,4,2,347077,31.3875,,Southampton,15,"Sweden Worcester, MA"
109,3rd,1,"Thorneycroft, Mrs. Percival (Florence Kate White)","Thorneycroft,  Percival (Florence Kate White)",female,,1,0,376564,16.1,,Southampton,10,
110,3rd,0,"van Melkebeke, Mr. Philemon","van Melkebeke,  Philemon",male,,0,0,345777,9.5,,Southampton,,
111,2nd,0,"Collander, Mr. Erik Gustaf","Collander,  Erik Gustaf",male,28.0,0,0,248740,13.0,,Southampton,,"Helsinki, Finland Ashtabula, Ohio"
112,1st,1,"Stengel, Mr. Charles Emil Henry","Stengel,  Charles Emil Henry",male,54.0,1,0,11778,55.4417,C116,Cherbourg,1,"Newark, NJ"
113,2nd,1,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)","Jerwan,  Amin S (Marie Marthe Thuillard)",female,23.0,0,0,SC/AH Basle 541,13.7917,D,Cherbourg,11,"New York, NY"
114,1st,1,"Omont, Mr. Alfred Fernand","Omont,  Alfred Fernand",male,,0,0,F.C. 12998,25.7417,,Cherbourg,7,"Paris, France"
115,3rd,0,"Karlsson, Mr. Julius Konrad Eugen","Karlsson,  Julius Konrad Eugen",male,33.0,0,0,347465,7.8542,,Southampton,,
116,3rd,0,"Petersen, Mr. Marius","Petersen,  Marius",male,24.0,0,0,342441,8.05,,Southampton,,
117,1st,1,"Aubart, Mme. Leontine Pauline","Aubart, Mme. Leontine Pauline",female,24.0,0,0,PC 17477,69.3,B35,Cherbourg,9,"Paris, France"
118,1st,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)","Warren,  Frank Manley (Anna Sophia Atkinson)",female,60.0,1,0,110813,75.25,D37,Cherbourg,5,"Portland, OR"
119,2nd,0,"Jarvis, Mr. John Denzil","Jarvis,  John Denzil",male,47.0,0,0,237565,15.0,,Southampton,,"North Evington, England"
120,1st,1,"Seward, Mr. Frederic Kimber","Seward,  Frederic Kimber",male,34.0,0,0,113794,26.55,,Southampton,7,"New York, NY"
121,1st,1,"Blank, Mr. Henry","Blank, Henry",male,40.0,0,0,112277,31.0,A31,Cherbourg,7,"Glen Ridge, NJ"
122,3rd,0,"Gustafsson, Mr. Johan Birger","Gustafsson,  Johan Birger",male,28.0,2,0,3101277,7.925,,Southampton,,"Ruotsinphytaa, Finland New York, NY"
123,1st,1,"Oliva y Ocana, Dona. Fermina","Oliva y Ocana, Dona. Fermina",female,39.0,0,0,PC 17758,108.9,C105,Cherbourg,8,
124,3rd,0,"Ali, Mr. William","Ali,  William",male,25.0,0,0,SOTON/O.Q. 3101312,7.05,,Southampton,,Argentina
125,3rd,0,"Strandberg, Miss. Ida Sofia","Strandberg,  Ida Sofia",female,22.0,0,0,7553,9.8375,,Southampton,,
126,2nd,1,"Duran y More, Miss. Florentina","Duran y More,  Florentina",female,30.0,1,0,SC/PARIS 2148,13.8583,,Cherbourg,12,"Barcelona, Spain / Havana, Cuba"
127,3rd,0,"Gallagher, Mr. Martin","Gallagher,  Martin",male,25.0,0,0,36864,7.7417,,Queenstown,,"New York, NY"
128,1st,1,"Harder, Mrs. George Achilles (Dorothy Annan)","Harder,  George Achilles (Dorothy Annan)",female,25.0,1,0,11765,55.4417,E50,Cherbourg,5,"Brooklyn, NY"
129,1st,0,"McCaffry, Mr. Thomas Francis","McCaffry,  Thomas Francis",male,46.0,0,0,13050,75.2417,C6,Cherbourg,,"Vancouver, BC"
130,3rd,0,"Johansson, Mr. Erik","Johansson,  Erik",male,22.0,0,0,350052,7.7958,,Southampton,,
131,3rd,0,"Palsson, Mrs. Nils (Alma Cornelia Berglund)","Palsson,  Nils (Alma Cornelia Berglund)",female,29.0,0,4,349909,21.075,,Southampton,,
132,2nd,1,"Nasser, Mrs. Nicholas (Adele Achem)","Nasser,  Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,,Cherbourg,,"New York, NY"
133,2nd,1,"Mallet, Master. Andre","Mallet, Master. Andre",male,1.0,0,2,S.C./PARIS 2079,37.0042,,Cherbourg,10,"Paris / Montreal, PQ"
134,2nd,1,"West, Mrs. Edwy Arthur (Ada Mary Worth)","West,  Edwy Arthur (Ada Mary Worth)",female,33.0,1,2,C.A. 34651,27.75,,Southampton,10,"Bournmouth, England"
135,1st,0,"Hipkins, Mr. William Edward","Hipkins,  William Edward",male,55.0,0,0,680,50.0,C39,Southampton,,London / Birmingham
136,3rd,0,"Garfirth, Mr. John","Garfirth,  John",male,,0,0,358585,14.5,,Southampton,,
137,3rd,0,"Moen, Mr. Sigurd Hansen","Moen,  Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,Southampton,,
138,3rd,0,"Olsson, Miss. Elina","Olsson,  Elina",female,31.0,0,0,350407,7.8542,,Southampton,,
139,3rd,0,"Petroff, Mr. Nedelio","Petroff,  Nedelio",male,19.0,0,0,349212,7.8958,,Southampton,,
140,1st,0,"Crosby, Capt. Edward Gifford","Crosby, Capt. Edward Gifford",male,70.0,1,1,WE/P 5735,71.0,B22,Southampton,,"Milwaukee, WI"
141,1st,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)","Cardeza, James Warburton Martinez (Charlotte Wardle Drake)",female,58.0,0,1,PC 17755,512.3292,B51 B53 B55,Cherbourg,3,"Germantown, Philadelphia, PA"
142,3rd,0,"Arnold-Franchi, Mr. Josef","Arnold-Franchi,  Josef",male,25.0,1,0,349237,17.8,,Southampton,,"Altdorf, Switzerland"
143,2nd,0,"Drew, Mr. James Vivian","Drew,  James Vivian",male,42.0,1,1,28220,32.5,,Southampton,,"Greenport, NY"
144,3rd,0,"Smiljanic, Mr. Mile","Smiljanic,  Mile",male,,0,0,315037,8.6625,,Southampton,,
145,1st,0,"Isham, Miss. Ann Elizabeth","Isham,  Ann Elizabeth",female,50.0,0,0,PC 17595,28.7125,C49,Cherbourg,,"Paris, France New York, NY"
146,3rd,0,"Dintcheff, Mr. Valtcho","Dintcheff,  Valtcho",male,43.0,0,0,349226,7.8958,,Southampton,,
147,3rd,0,"Yasbeck, Mr. Antoni","Yasbeck,  Antoni",male,27.0,1,0,2659,14.4542,,Cherbourg,C,
148,3rd,1,"Daly, Mr. Eugene Patrick","Daly,  Eugene Patrick",male,29.0,0,0,382651,7.75,,Queenstown,13 15 B,"Co Athlone, Ireland New York, NY"
149,3rd,1,"McCoy, Mr. Bernard","McCoy,  Bernard",male,,2,0,367226,23.25,,Queenstown,16,
150,3rd,0,"Strilic, Mr. Ivan","Strilic,  Ivan",male,27.0,0,0,315083,8.6625,,Southampton,,
151,3rd,0,"Jensen, Mr. Hans Peder","Jensen,  Hans Peder",male,20.0,0,0,350050,7.8542,,Southampton,,
152,3rd,0,"Vander Planke, Mr. Julius","Vander Planke,  Julius",male,31.0,3,0,345763,18.0,,Southampton,,
153,2nd,1,"Webber, Miss. Susan","Webber,  Susan",female,32.5,0,0,27267,13.0,E101,Southampton,12,"England / Hartford, CT"
154,3rd,1,"Midtsjo, Mr. Karl Albert","Midtsjo,  Karl Albert",male,21.0,0,0,345501,7.775,,Southampton,15,
155,1st,1,"Hays, Miss. Margaret Bechstein","Hays,  Margaret Bechstein",female,24.0,0,0,11767,83.1583,C54,Cherbourg,7,"New York, NY"
156,3rd,0,"Corn, Mr. Harry","Corn,  Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,,Southampton,,London
157,3rd,1,"Vartanian, Mr. David","Vartanian,  David",male,22.0,0,0,2658,7.225,,Cherbourg,13 15,
158,3rd,0,"Peters, Miss. Katie","Peters,  Katie",female,,0,0,330935,8.1375,,Queenstown,,
159,2nd,0,"Harris, Mr. Walter","Harris,  Walter",male,30.0,0,0,W/C 14208,10.5,,Southampton,,"Walthamstow, England"
160,1st,0,"Partner, Mr. Austen","Partner,  Austen",male,45.5,0,0,113043,28.5,C124,Southampton,,"Surbiton Hill, Surrey"
161,1st,0,"Roebling, Mr. Washington Augustus II","Roebling,  Washington Augustus II",male,31.0,0,0,PC 17590,50.4958,A24,Southampton,,"Trenton, NJ"
162,2nd,0,"Nesson, Mr. Israel","Nesson,  Israel",male,26.0,0,0,244368,13.0,F2,Southampton,,"Boston, MA"
163,1st,0,"Ryerson, Mr. Arthur Larned","Ryerson,  Arthur Larned",male,61.0,1,3,PC 17608,262.375,B57 B59 B63 B66,Cherbourg,,"Haverford, PA / Cooperstown, NY"
164,3rd,1,"de Mulder, Mr. Theodore","de Mulder,  Theodore",male,30.0,0,0,345774,9.5,,Southampton,11,"Belgium Detroit, MI"
165,3rd,1,"Hansen, Mrs. Claus Peter (Jennie L Howard)","Hansen,  Claus Peter (Jennie L Howard)",female,45.0,1,0,350026,14.1083,,Southampton,11,
166,1st,1,"Pears, Mrs. Thomas (Edith Wearne)","Pears,  Thomas (Edith Wearne)",female,22.0,1,0,113776,66.6,C2,Southampton,8,"Isleworth, England"
167,3rd,0,"Makinen, Mr. Kalle Edvard","Makinen,  Kalle Edvard",male,29.0,0,0,STON/O 2. 3101268,7.925,,Southampton,,
168,3rd,0,"Ford, Mrs. Edward (Margaret Ann Watson)","Ford,  Edward (Margaret Ann Watson)",female,48.0,1,3,W./C. 6608,34.375,,Southampton,,"Rotherfield, Sussex, England Essex Co, MA"
169,2nd,0,"Jenkin, Mr. Stephen Curnow","Jenkin,  Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,,Southampton,,"St Ives, Cornwall / Houghton, MI"
170,1st,1,"Young, Miss. Marie Grice","Young,  Marie Grice",female,36.0,0,0,PC 17760,135.6333,C32,Cherbourg,8,"New York, NY / Washington, DC"
171,3rd,1,"McDermott, Miss. Brigdet Delia","McDermott,  Brigdet Delia",female,,0,0,330932,7.7875,,Queenstown,13,
172,2nd,0,"Laroche, Mr. Joseph Philippe Lemercier","Laroche,  Joseph Philippe Lemercier",male,25.0,1,2,SC/Paris 2123,41.5792,,Cherbourg,,Paris / Haiti
173,3rd,0,"Simmons, Mr. John","Simmons,  John",male,,0,0,SOTON/OQ 392082,8.05,,Southampton,,
174,1st,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")","Romaine,  Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,111428,26.55,,Southampton,9,"New York, NY"
175,3rd,0,"Jussila, Miss. Katriina","Jussila,  Katriina",female,20.0,1,0,4136,9.825,,Southampton,,
176,3rd,0,"Zakarian, Mr. Ortin","Zakarian,  Ortin",male,27.0,0,0,2670,7.225,,Cherbourg,,
177,3rd,1,"Riordan, Miss. Johanna ""Hannah""","Riordan,  Johanna ""Hannah""",female,,0,0,334915,7.7208,,Queenstown,13,
178,1st,0,"Wright, Mr. George","Wright,  George",male,62.0,0,0,113807,26.55,,Southampton,,"Halifax, NS"
179,1st,0,"Evans, Miss. Edith Corse","Evans,  Edith Corse",female,36.0,0,0,PC 17531,31.6792,A29,Cherbourg,,"New York, NY"
180,3rd,0,"Andersson, Miss. Ebba Iris Alfrida","Andersson,  Ebba Iris Alfrida",female,6.0,4,2,347082,31.275,,Southampton,,"Sweden Winnipeg, MN"
181,1st,1,"Sagesser, Mlle. Emma","Sagesser, Mlle. Emma",female,24.0,0,0,PC 17477,69.3,B35,Cherbourg,9,
182,2nd,0,"Matthews, Mr. William John","Matthews,  William John",male,30.0,0,0,28228,13.0,,Southampton,,"St Austall, Cornwall"
183,3rd,0,"Cacic, Miss. Marija","Cacic,  Marija",female,30.0,0,0,315084,8.6625,,Southampton,,
184,3rd,0,"McNamee, Mr. Neal","McNamee,  Neal",male,24.0,1,0,376566,16.1,,Southampton,,
185,2nd,0,"Fynney, Mr. Joseph J","Fynney,  Joseph J",male,35.0,0,0,239865,26.0,,Southampton,,"Liverpool / Montreal, PQ"
186,1st,0,"Straus, Mrs. Isidor (Rosalie Ida Blun)","Straus,  Isidor (Rosalie Ida Blun)",female,63.0,1,0,PC 17483,221.7792,C55 C57,Southampton,,"New York, NY"
